neighbourhood group,neighbourhood,lat,long,price
Brooklyn,Kensington,40.64749,-73.97237,$966 
Manhattan,Midtown,40.75362,-73.98377,$142 
Manhattan,Harlem,40.80902,-73.9419,$620 
Brooklyn,Clinton Hill,40.68514,-73.95976,$368 
Manhattan,East Harlem,40.79851,-73.94399,$204 
Manhattan,Murray Hill,40.74767,-73.975,$577 
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,$71 
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,"$1,060 "
Manhattan,Hell's Kitchen,40.76489,-73.98493,"$1,018 "
Manhattan,Upper West Side,40.80178,-73.96723,$291 
Manhattan,Chinatown,40.71344,-73.99037,$319 
Manhattan,Upper West Side,40.80316,-73.96545,$606 
Manhattan,Hell's Kitchen,40.76076,-73.98867,$714 
brookln,South Slope,40.66829,-73.98779,$580 
Manhattan,Upper West Side,40.79826,-73.96113,$149 
Manhattan,West Village,40.7353,-74.00525,$578 
Brooklyn,Williamsburg,40.70837,-73.95352,$778 
Brooklyn,Fort Greene,40.69169,-73.97185,$656 
manhatan,Chelsea,40.74192,-73.99501,$460 
Brooklyn,Crown Heights,40.67592,-73.94694,"$1,095 "
Manhattan,East Harlem,40.79685,-73.94872,$281 
Brooklyn,Williamsburg,40.71842,-73.95718,$477 
Brooklyn,Park Slope,40.68069,-73.97706,$133 
Brooklyn,Park Slope,40.67989,-73.97798,"$1,050 "
Brooklyn,Park Slope,40.68001,-73.97865,$816 
Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,"$1,175 "
Brooklyn,Windsor Terrace,40.65599,-73.97519,$530 
Manhattan,Inwood,40.86754,-73.92639,$274 
Manhattan,Hell's Kitchen,40.76715,-73.98533,$209 
Manhattan,Inwood,40.86482,-73.92106,$432 
Manhattan,East Village,40.7292,-73.98542,$666 
Manhattan,Harlem,40.82245,-73.95104,$770 
Manhattan,Harlem,40.81305,-73.95466,$512 
Brooklyn,Greenpoint,40.72219,-73.93762,$858 
Manhattan,Harlem,40.8213,-73.95318,$545 
Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,$191 
Brooklyn,South Slope,40.66869,-73.9878,"$1,111 "
Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,$203 
Brooklyn,Bushwick,40.70186,-73.92745,"$1,097 "
Brooklyn,Flatbush,40.63702,-73.96327,"$1,020 "
Manhattan,Lower East Side,40.71401,-73.98917,"$1,010 "
Manhattan,East Village,40.7229,-73.98199,$563 
Brooklyn,South Slope,40.66278,-73.97966,$370 
Brooklyn,Fort Greene,40.69673,-73.97584,$687 
Manhattan,Upper West Side,40.79009,-73.97927,$856 
Manhattan,Harlem,40.81175,-73.94478,$62 
Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,$435 
Queens,Long Island City,40.74771,-73.9474,$916 
Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,$459 
Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,$363 
Brooklyn,Fort Greene,40.69142,-73.97376,$212 
Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,$728 
Manhattan,Upper West Side,40.78635,-73.97008,$901 
Brooklyn,Williamsburg,40.7042,-73.9356,$335 
Brooklyn,Greenpoint,40.73506,-73.95392,$254 
Manhattan,Kips Bay,40.73961,-73.98074,$903 
Brooklyn,Williamsburg,40.70881,-73.9593,$439 
Manhattan,Lower East Side,40.72004,-73.99104,"$1,024 "
Manhattan,Hell's Kitchen,40.75531,-73.99293,$658 
Brooklyn,Greenpoint,40.72401,-73.93788,$543 
Manhattan,SoHo,40.7221,-73.99775,$256 
Brooklyn,Williamsburg,40.71185,-73.96204,$294 
Manhattan,Chelsea,40.74623,-73.9953,$779 
Manhattan,Upper East Side,40.77065,-73.95269,$653 
Brooklyn,Prospect Heights,40.67811,-73.96428,$303 
Brooklyn,Clinton Hill,40.69,-73.96788,$825 
Manhattan,Hell's Kitchen,40.75979,-73.99119,$646 
Brooklyn,Park Slope,40.67343,-73.98338,"$1,037 "
Manhattan,East Village,40.72649,-73.97904,$87 
Brooklyn,Williamsburg,40.70933,-73.96792,$316 
Manhattan,East Village,40.72298,-73.98474,$735 
Manhattan,East Harlem,40.80164,-73.93922,$524 
Manhattan,East Village,40.72162,-73.98008,$238 
Manhattan,Hell's Kitchen,40.76342,-73.98865,$603 
,Washington Heights,40.83139,-73.94095,$571 
,Clinton Hill,40.68346,-73.96374,$398 
,East Village,40.72828,-73.98801,$618 
,Upper East Side,40.76865,-73.95058,$116 
,Woodside,40.75038,-73.90334,$54 
Brooklyn,Fort Greene,40.6932,-73.97267,$744 
Manhattan,Chelsea,40.74138,-74.00197,"$1,065 "
Brooklyn,Williamsburg,40.71154,-73.96112,"$1,057 "
Manhattan,Harlem,40.82915,-73.95136,"$1,056 "
Manhattan,Lower East Side,40.71851,-73.98892,$909 
Brooklyn,Flatbush,40.65401,-73.96323,$586 
Manhattan,Lower East Side,40.7114,-73.98794,$575 
Brooklyn,Brooklyn Heights,40.69723,-73.99268,$292 
Brooklyn,Williamsburg,40.71833,-73.95748,$194 
Manhattan,East Village,40.72334,-73.9844,$123 
Manhattan,East Village,40.72912,-73.98057,"$1,079 "
,Williamsburg,40.71156,-73.96218,$266 
,Bushwick,40.70032,-73.9383,$728 
,Prospect Heights,40.68233,-73.97261,$583 
Brooklyn,Clinton Hill,40.68634,-73.966,$51 
Brooklyn,Prospect Heights,40.68035,-73.97162,$588 
Brooklyn,Williamsburg,40.70984,-73.95775,$360 
Brooklyn,Bushwick,40.70093,-73.92609,$380 
Manhattan,Upper West Side,40.79764,-73.96177,$343 
Manhattan,Harlem,40.82803,-73.94731,$160 
Manhattan,Chelsea,40.74008,-74.00271,$528 
Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,$739 
Manhattan,Harlem,40.82279,-73.95139,$913 
Brooklyn,Carroll Gardens,40.67967,-74.00154,$507 
Manhattan,Washington Heights,40.83927,-73.94281,$306 
Manhattan,West Village,40.73096,-74.00319,"$1,078 "
Brooklyn,Williamsburg,40.71332,-73.94177,$887 
Brooklyn,Park Slope,40.66941,-73.98109,$243 
Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,$500 
Brooklyn,Williamsburg,40.71459,-73.94844,$589 
Manhattan,Harlem,40.8092,-73.94421,$839 
Brooklyn,Gowanus,40.68157,-73.98989,$528 
Manhattan,Hell's Kitchen,40.75527,-73.99291,$66 
Brooklyn,Clinton Hill,40.68698,-73.96572,$761 
Manhattan,East Village,40.7288,-73.98192,$523 
